Naziv kompanije,Kategorija,Status,Kontakt osoba,Napomena,Odgovorna,Zadnji update
Osijek Fashion,Moda i odjeća,Potvrđen,,Women 100 ugovor,Azra,31.03.2026
Taya,Moda i odjeća,Potvrđen,,Women 100 ugovor,Azra,31.03.2026
Andora Tim,Moda i odjeća,Potvrđen,,Women 100 ugovor,Azra,31.03.2026
D-Moli,Ljepota i kozmetika,Potvrđen,,Women 100 ugovor,Azra,31.03.2026
Ana Hup,Nakit i dodaci,Potvrđen,,Women 100 ugovor,Azra,31.03.2026
Holy Canoli,Hrana i lifestyle,Potvrđen,,Women 100 ugovor,Azra,31.03.2026
IQOS,Lifestyle,Potvrđen,,Godišnja saradnja — desno krilo party,Alena,31.03.2026
Agram,Finansije / banka,Potvrđen,,Ugovor u finalizaciji,Alena,31.03.2026
Badel,Piće / partner,Potvrđen,,Piće za party,Slađana,31.03.2026
Carlsberg,Piće / partner,Potvrđen,,Piće za party,Slađana,31.03.2026
Bohorina,Hrana i piće,Potvrđen,,Desno krilo party + piće,Slađana,31.03.2026
Berberović,Moda — dizajner,Potvrđen,,Showroom lijevo krilo party,Slađana,31.03.2026
Madam Me,Moda — dizajner,Potvrđen,,Showroom lijevo krilo party,Slađana,31.03.2026
Fondacija 787,Partner / organizacija,Potvrđen,,Dodjeljuje posebnu nagradu,Selma,31.03.2026
Poslovne novine,Medijski partner,Potvrđen,,"PR članci, online katalog, portal",Alena,31.03.2026
InfoCode,Tehnologija,Potvrđen,,Digitalne prijave učesnika — link aktivan,Selma,31.03.2026
CasadiCampara (Maša),Fotografija,Potvrđen,,Fotografija potvrđena,Selma,31.03.2026
UN Women,Partner / organizacija,Čeka potvrdu,,Finansira 2 media zida i brendiranje pultova,Azra,31.03.2026
M-Bike,Sport i lifestyle,Čeka potvrdu,,Odluka do 3.04.,Azra,31.03.2026
Caribou / Coffee Station,Café — B2B arena,U pregovorima,,Coffee brand paviljon u B2B areni,Azra,31.03.2026
Klix.ba,Medijski partner,U pregovorima,,Plaćena objava 1.800 KM,Alena,31.03.2026
Ovnak,Poklon paketi,U pregovorima,,Poklon paketi za nagrađenice,Azra,31.03.2026
Afrodita,Ljepota i kozmetika,U pregovorima,,Poklon paketi,Azra,31.03.2026
Gloria,Ljepota i kozmetika,U pregovorima,,Poklon paketi,Azra,31.03.2026
Melon Skincare,Ljepota i kozmetika,U pregovorima,,Poklon paketi,Azra,31.03.2026
Agroherc Organic,Hrana i zdravlje,U pregovorima,,Poklon paketi,Azra,31.03.2026
Orbico,FMCG / distribucija,U pregovorima,,Poklon paketi,Azra,31.03.2026
— slobodan slot —,,Slobodan,,,Azra,
— slobodan slot —,,Slobodan,,,Azra,
— slobodan slot —,,Slobodan,,,Azra,
— slobodan slot —,,Slobodan,,,Azra,
— slobodan slot —,,Slobodan,,,Azra,
